-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         5.64%      45.335ms       100.00%     803.913ms     803.913ms             1  
                                            aten::empty         0.43%       3.446ms         0.43%       3.446ms       3.903us           883  
                                          aten::random_         0.00%      12.000us         0.00%      12.000us      12.000us             1  
                                             aten::item         0.00%       3.700us         0.00%       6.200us       6.200us             1  
                              aten::_local_scalar_dense         0.00%       2.500us         0.00%       2.500us       2.500us             1  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         0.22%       1.799ms         0.39%       3.150ms     315.020us            10  
                                            aten::slice         0.86%       6.930ms         0.96%       7.731ms       7.112us          1087  
                                       aten::as_strided         0.35%       2.821ms         0.35%       2.821ms       1.170us          2410  
                                             aten::view         0.01%     103.100us         0.01%     103.100us       1.945us            53  
                                            aten::stack         0.01%      84.400us         0.09%     720.700us      80.078us             9  
                                              aten::cat         5.50%      44.216ms         5.70%      45.831ms       2.546ms            18  
                                           aten::narrow         0.06%     516.900us         0.20%       1.616ms      10.630us           152  
                                           aten::conv1d         0.53%       4.242ms        55.46%     445.832ms       1.011ms           441  
                                      aten::convolution         0.64%       5.174ms        54.93%     441.590ms       1.001ms           441  
                                     aten::_convolution         1.53%      12.271ms        54.29%     436.415ms     989.604us           441  
                                        aten::unsqueeze         0.55%       4.399ms         0.70%       5.646ms       6.401us           882  
                               aten::mkldnn_convolution        50.76%     408.083ms        51.56%     414.531ms     939.980us           441  
                                      aten::as_strided_         0.30%       2.422ms         0.30%       2.422ms       5.492us           441  
                                          aten::resize_         0.07%     589.600us         0.07%     589.600us       1.337us           441  
                                          aten::squeeze         0.40%       3.195ms         0.49%       3.967ms       8.995us           441  
                                             aten::tanh        10.96%      88.145ms        10.96%      88.145ms     612.117us           144  
                                          aten::sigmoid         9.21%      74.024ms         9.21%      74.024ms     514.058us           144  
                                              aten::mul         7.42%      59.679ms         7.42%      59.679ms     414.440us           144  
                                              aten::add         4.53%      36.419ms         4.53%      36.419ms     252.911us           144  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 803.913ms
