-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         5.47%      85.023ms       100.00%        1.555s        1.555s             1  
                                            aten::empty         0.44%       6.785ms         0.44%       6.785ms       3.844us          1765  
                                          aten::random_         0.00%      12.000us         0.00%      12.000us      12.000us             1  
                                             aten::item         0.00%       4.100us         0.00%       6.300us       6.300us             1  
                              aten::_local_scalar_dense         0.00%       2.200us         0.00%       2.200us       2.200us             1  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         0.19%       2.898ms         0.33%       5.055ms     266.053us            19  
                                            aten::slice         0.86%      13.321ms         0.95%      14.850ms       6.827us          2175  
                                       aten::as_strided         0.34%       5.260ms         0.34%       5.260ms       1.091us          4821  
                                             aten::view         0.01%     195.400us         0.01%     195.400us       1.843us           106  
                                            aten::stack         0.01%     183.000us         0.08%       1.229ms      68.256us            18  
                                              aten::cat         5.67%      88.241ms         5.86%      91.200ms       2.533ms            36  
                                           aten::narrow         0.07%       1.157ms         0.19%       2.960ms       9.704us           305  
                                           aten::conv1d         0.56%       8.768ms        55.56%     864.044ms     979.642us           882  
                                      aten::convolution         0.64%       9.893ms        54.99%     855.276ms     969.700us           882  
                                     aten::_convolution         1.44%      22.347ms        54.36%     845.383ms     958.484us           882  
                                        aten::unsqueeze         0.55%       8.621ms         0.70%      10.843ms       6.147us          1764  
                               aten::mkldnn_convolution        50.95%     792.331ms        51.75%     804.876ms     912.558us           882  
                                      aten::as_strided_         0.30%       4.639ms         0.30%       4.639ms       5.260us           882  
                                          aten::resize_         0.07%       1.132ms         0.07%       1.132ms       1.284us           882  
                                          aten::squeeze         0.37%       5.808ms         0.47%       7.317ms       8.296us           882  
                                             aten::tanh        10.36%     161.130ms        10.36%     161.130ms     559.481us           288  
                                          aten::sigmoid         9.64%     149.948ms         9.64%     149.948ms     520.653us           288  
                                              aten::mul         7.61%     118.299ms         7.61%     118.299ms     410.761us           288  
                                              aten::add         4.45%      69.253ms         4.45%      69.253ms     240.461us           288  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.555s
