-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         3.35%     106.172ms       100.00%        3.168s        3.168s             1  
                                            aten::empty         0.26%       8.287ms         0.26%       8.287ms       4.695us          1765  
                                          aten::random_         0.00%      14.700us         0.00%      14.700us      14.700us             1  
                                             aten::item         0.00%       6.300us         0.00%       8.800us       8.800us             1  
                              aten::_local_scalar_dense         0.00%       2.500us         0.00%       2.500us       2.500us             1  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         0.13%       4.037ms         0.21%       6.628ms     348.858us            19  
                                            aten::slice         0.46%      14.553ms         0.52%      16.617ms       7.640us          2175  
                                       aten::as_strided         0.19%       6.178ms         0.19%       6.178ms       1.281us          4821  
                                             aten::view         0.01%     355.800us         0.01%     355.800us       3.357us           106  
                                            aten::stack         0.01%     242.300us         0.04%       1.350ms      75.006us            18  
                                              aten::cat         3.82%     120.996ms         3.92%     124.106ms       3.447ms            36  
                                           aten::narrow         0.04%       1.192ms         0.10%       3.109ms      10.195us           305  
                                           aten::conv1d         0.30%       9.397ms        63.04%        1.997s       2.265ms           882  
                                      aten::convolution         0.36%      11.525ms        62.75%        1.988s       2.254ms           882  
                                     aten::_convolution         0.76%      24.176ms        62.38%        1.976s       2.241ms           882  
                                        aten::unsqueeze         0.28%       8.886ms         0.36%      11.252ms       6.379us          1764  
                               aten::mkldnn_convolution        60.55%        1.918s        61.01%        1.933s       2.191ms           882  
                                      aten::as_strided_         0.16%       4.947ms         0.16%       4.947ms       5.609us           882  
                                          aten::resize_         0.04%       1.412ms         0.04%       1.412ms       1.601us           882  
                                          aten::squeeze         0.20%       6.361ms         0.26%       8.108ms       9.193us           882  
                                             aten::tanh        11.83%     374.879ms        11.83%     374.879ms       1.302ms           288  
                                          aten::sigmoid         7.30%     231.204ms         7.30%     231.204ms     802.792us           288  
                                              aten::mul         5.07%     160.680ms         5.07%     160.680ms     557.916us           288  
                                              aten::add         4.88%     154.475ms         4.88%     154.475ms     536.370us           288  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.168s
